"","study","outcome","id","sex","age","age_error","age_sd","age_lower","age_upper","resource","units","raw_return","raw_sd","adult_return","adult_sd","adult_se"
"102","BliegeBird_2002a","BliegeBird_2002a_fig5a","BliegeBird_2002a_fig5a_1","female",7.21822541966426,NA,NA,NA,NA,"shellfish","net kcal/hr",523.636363636363,NA,1096.62337662338,716.716637925409,156.400392625116
"103","BliegeBird_2002a","BliegeBird_2002a_fig5a","BliegeBird_2002a_fig5a_2","female",6.21103117505995,NA,NA,NA,NA,"shellfish","net kcal/hr",981.818181818182,NA,1096.62337662338,716.716637925409,156.400392625116
"104","BliegeBird_2002a","BliegeBird_2002a_fig5a","BliegeBird_2002a_fig5a_3","female",12.5899280575539,NA,NA,NA,NA,"shellfish","net kcal/hr",1210.90909090909,NA,1096.62337662338,716.716637925409,156.400392625116
"105","BliegeBird_2002a","BliegeBird_2002a_fig5a","BliegeBird_2002a_fig5a_4","female",11.9184652278177,NA,NA,NA,NA,"shellfish","net kcal/hr",785.454545454545,NA,1096.62337662338,716.716637925409,156.400392625116
"106","BliegeBird_2002a","BliegeBird_2002a_fig5a","BliegeBird_2002a_fig5a_26","female",11.2470023980815,NA,NA,NA,NA,"shellfish","net kcal/hr",381.818181818182,NA,1096.62337662338,716.716637925409,156.400392625116
"107","BliegeBird_2002a","BliegeBird_2002a_fig5a","BliegeBird_2002a_fig5a_27","female",10.5755395683453,NA,NA,NA,NA,"shellfish","net kcal/hr",283.636363636364,NA,1096.62337662338,716.716637925409,156.400392625116
"108","BliegeBird_2002a","BliegeBird_2002a_fig5a","BliegeBird_2002a_fig5a_28","female",11.4148681055156,NA,NA,NA,NA,"shellfish","net kcal/hr",250.909090909091,NA,1096.62337662338,716.716637925409,156.400392625116
"109","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_1","male",5.20383693045563,NA,NA,NA,NA,"shellfish","net kcal/hr",152.727272727274,NA,2113.00699300699,1572.21779208852,436.054758890149
"110","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_2","male",8.22541966426859,NA,NA,NA,NA,"shellfish","net kcal/hr",414.545454545456,NA,2113.00699300699,1572.21779208852,436.054758890149
"111","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_3","male",8.8968824940048,NA,NA,NA,NA,"shellfish","net kcal/hr",152.727272727274,NA,2113.00699300699,1572.21779208852,436.054758890149
"112","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_4","male",10.9112709832134,NA,NA,NA,NA,"shellfish","net kcal/hr",283.636363636365,NA,2113.00699300699,1572.21779208852,436.054758890149
"113","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_5","male",14.2685851318945,NA,NA,NA,NA,"shellfish","net kcal/hr",283.636363636365,NA,2113.00699300699,1572.21779208852,436.054758890149
"114","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_6","male",13.2613908872902,NA,NA,NA,NA,"shellfish","net kcal/hr",501.818181818183,NA,2113.00699300699,1572.21779208852,436.054758890149
"115","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_7","male",11.9184652278178,NA,NA,NA,NA,"shellfish","net kcal/hr",1069.09090909091,NA,2113.00699300699,1572.21779208852,436.054758890149
"116","BliegeBird_2002a","BliegeBird_2002a_fig5b","BliegeBird_2002a_fig5b_8","male",18.968824940048,NA,NA,NA,NA,"shellfish","net kcal/hr",589.09090909091,NA,2113.00699300699,1572.21779208852,436.054758890149
"117","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_1","both",5.99024390243902,NA,NA,NA,NA,"shellfish","net kcal/hr",977.6,NA,NA,NA,NA
"118","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_2","both",8.21463414634146,NA,NA,NA,NA,"shellfish","net kcal/hr",406.4,NA,NA,NA,NA
"119","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_3","both",10.4780487804878,NA,NA,NA,NA,"shellfish","net kcal/hr",291.2,NA,NA,NA,NA
"120","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_4","both",10.9463414634146,NA,NA,NA,NA,"shellfish","net kcal/hr",252.8,NA,NA,NA,NA
"121","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_5","both",10.9853658536585,NA,NA,NA,NA,"shellfish","net kcal/hr",291.2,NA,NA,NA,NA
"122","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_6","both",11.0243902439024,NA,NA,NA,NA,"shellfish","net kcal/hr",401.6,NA,NA,NA,NA
"123","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_7","both",12.9756097560976,NA,NA,NA,NA,"shellfish","net kcal/hr",459.2,NA,NA,NA,NA
"124","BliegeBird_2002a","BliegeBird_2002a_fig5c","BliegeBird_2002a_fig5c_8","both",13.990243902439,NA,NA,NA,NA,"shellfish","net kcal/hr",286.4,NA,NA,NA,NA
